badDirt,timeAlive
false,210
false,68
true,446
false,516
false,252
false,819
true,174
false,436
false,640
true,813
false,191
false,829
false,200
false,1152
false,817
false,1136
false,723
false,1422
false,1981
false,981
false,2116
false,2514
false,254
false,851
false,759
false,1219
false,768
false,2820
false,583
false,2387
false,3047
false,49
false,3481
false,968
true,218
false,1123
false,1377
false,77
false,2978
false,306
false,2251
false,1822
false,1259
false,3852
false,2504
false,485
false,2910
false,733
false,3244
false,343
false,3393
false,3025
true,193
true,316
false,550
false,1576
false,943
false,1123
false,3613
false,2442
false,2992
false,3158
false,4039
false,2075
false,1143
false,3076
false,1639
false,232
false,3615
false,2960
false,955
false,50
false,2239
false,4562
false,1297
false,4152
false,1228
false,832
false,3188
false,2751
false,832
false,2773
false,414
false,4990
false,2755
false,2691
false,1976
false,3637
false,3239
false,4521
false,4072
false,913
false,2605
false,1352
false,4903
false,1412
false,2505
true,518
false,759
false,2430
false,2415
false,354
false,3716
false,1484
false,1884
false,611
false,4676
false,1932
false,2194
false,3615
false,242
false,3347
false,2795
false,4583
true,607
false,2125
false,5157
false,3862
false,4841
false,2539
false,3176
false,3570
false,6014
false,6370
false,2526
false,4896
false,3066
false,134
false,914
true,760
false,1803
false,231
false,311
false,873
false,4102
true,1529
false,2295
false,317
false,3291
false,1102
false,779
false,336
false,5651
false,1416
false,2550
false,1351
false,2856
false,2570
false,697
false,4985
false,5805
false,2820
false,354
false,867
false,3708
false,1114
false,841
false,6061
false,3962
false,1128
false,565
false,5691
false,1606
false,96
false,5445
false,2332
false,1023
false,3323
false,2840
false,2055
false,2186
false,3357
false,5610
false,1461
false,4324
false,3728
false,2264
false,4168
false,1240
false,6376
false,909
false,665
false,1261
true,70
false,979
false,497
false,2972
false,422
false,2621
false,1479
false,3398
false,525
false,3926
false,2491
false,1290
true,216
false,5245
false,2300
false,4423
false,740
false,5457
false,4495
false,3035
false,4948
false,5980
false,742
false,781
false,1368
false,1146
false,528
false,164
false,3983
false,5018
false,2982
false,1166
false,3996
false,2908
true,1180
false,2562
false,4218
false,1337
false,5294
false,966
false,1525
false,3443
false,2647
false,4781
false,2154
false,2236
false,1319
false,1709
false,2928
false,2026
false,2755
false,4432
false,3369
false,4810
false,2061
false,788
false,1714
false,706
false,1696
false,263
false,5059
false,1599
false,3421
false,2562
false,976
false,2122
false,4638
false,3779
false,852
false,1697
false,1620
false,2135
false,4891
false,390
false,1987
false,3957
false,287
false,541
false,4211
false,2152
true,2384
false,5203
false,426
false,1270
false,1898
false,901
false,891
false,106
false,3118
false,1918
false,1373
true,1192
false,3143
false,2525
false,2050
false,1408
true,943
false,1791
false,2738
false,1318
false,1
false,2167
false,1911
false,859
false,3475
false,284
false,1765
false,3300
false,45
false,1405
true,2006
false,309
false,686
false,2642
false,2888
false,5015
false,683
false,47
false,1024
false,452
false,2014
false,644
true,3601
false,1771
false,382
false,169
